,hidden_dim1,hidden_dim2,hidden_dim3,lr,batch_size,epochs,accuracy
0,512,128,64,0.0001,32,50,0.5447362661361694
1,512,128,64,0.0001,32,100,0.6223565340042114
2,512,128,64,0.0001,32,250,0.6409481763839722
3,512,128,64,0.0001,32,500,0.6414129734039307
4,512,128,64,0.0001,64,50,0.5514757037162781
5,512,128,64,0.0001,64,100,0.612828254699707
6,512,128,64,0.0001,64,250,0.6421101689338684
7,512,128,64,0.0001,64,500,0.6395537853240967
8,512,128,64,0.0001,128,50,0.5486869812011719
9,512,128,64,0.0001,128,100,0.618173360824585
10,512,128,64,0.0001,128,250,0.6486172676086426
11,512,128,64,0.0001,128,500,0.6360678672790527
12,512,128,64,0.0001,512,50,0.5556588768959045
13,512,128,64,0.0001,512,100,0.6204973459243774
14,512,128,64,0.0001,512,250,0.6469904780387878
15,512,128,64,0.0001,512,500,0.6376946568489075
16,512,128,64,2e-05,32,50,0.41552406549453735
17,512,128,64,2e-05,32,100,0.5145247578620911
18,512,128,64,2e-05,32,250,0.5826168060302734
19,512,128,64,2e-05,32,500,0.6302579641342163
20,512,128,64,2e-05,64,50,0.4217987656593323
21,512,128,64,2e-05,64,100,0.5094120502471924
22,512,128,64,2e-05,64,250,0.5844759345054626
23,512,128,64,2e-05,64,500,0.6374622583389282
24,512,128,64,2e-05,128,50,0.45758774876594543
25,512,128,64,2e-05,128,100,0.4729258716106415
26,512,128,64,2e-05,128,250,0.581222414970398
27,512,128,64,2e-05,128,500,0.6302579641342163
28,512,128,64,2e-05,512,50,0.4882640242576599
29,512,128,64,2e-05,512,100,0.5252149701118469
30,512,128,64,2e-05,512,250,0.578433632850647
31,512,128,64,2e-05,512,500,0.6295607686042786
32,512,128,64,0.001,32,50,0.6323495507240295
33,512,128,64,0.001,32,100,0.6416453719139099
34,512,128,64,0.001,32,250,0.6356030702590942
35,512,128,64,0.001,32,500,0.6395537853240967
36,512,128,64,0.001,64,50,0.634441077709198
37,512,128,64,0.001,64,100,0.6430397629737854
38,512,128,64,0.001,64,250,0.635370671749115
39,512,128,64,0.001,64,500,0.6270044445991516
40,512,128,64,0.001,128,50,0.6332791447639465
41,512,128,64,0.001,128,100,0.6495468616485596
42,512,128,64,0.001,128,250,0.6446665525436401
43,512,128,64,0.001,128,500,0.631884753704071
44,512,128,64,0.001,512,50,0.6330467462539673
45,512,128,64,0.001,512,100,0.6486172676086426
46,512,128,64,0.001,512,250,0.6386242508888245
47,512,128,64,0.001,512,500,0.6346734762191772
48,512,128,128,0.0001,32,50,0.5651870965957642
49,512,128,128,0.0001,32,100,0.6283987760543823
50,512,128,128,0.0001,32,250,0.6439693570137024
51,512,128,128,0.0001,32,500,0.6407157778739929
52,512,128,128,0.0001,64,50,0.5544968843460083
53,512,128,128,0.0001,64,100,0.6216593384742737
54,512,128,128,0.0001,64,250,0.6467580795288086
55,512,128,128,0.0001,64,500,0.636300265789032
56,512,128,128,0.0001,128,50,0.5563560128211975
57,512,128,128,0.0001,128,100,0.6242156624794006
58,512,128,128,0.0001,128,250,0.6481524705886841
59,512,128,128,0.0001,128,500,0.6411805748939514
60,512,128,128,0.0001,512,50,0.556820809841156
61,512,128,128,0.0001,512,100,0.6256100535392761
62,512,128,128,0.0001,512,250,0.6490820646286011
63,512,128,128,0.0001,512,500,0.635370671749115
64,512,128,128,2e-05,32,50,0.3983267545700073
65,512,128,128,2e-05,32,100,0.5238205790519714
66,512,128,128,2e-05,32,250,0.5898210406303406
67,512,128,128,2e-05,32,500,0.632814347743988
68,512,128,128,2e-05,64,50,0.45758774876594543
69,512,128,128,2e-05,64,100,0.5022077560424805
70,512,128,128,2e-05,64,250,0.5914478302001953
71,512,128,128,2e-05,64,500,0.6360678672790527
72,512,128,128,2e-05,128,50,0.4592145085334778
73,512,128,128,2e-05,128,100,0.5331164598464966
74,512,128,128,2e-05,128,250,0.5937718152999878
75,512,128,128,2e-05,128,500,0.6335115432739258
76,512,128,128,2e-05,512,50,0.4252846837043762
77,512,128,128,2e-05,512,100,0.5170811414718628
78,512,128,128,2e-05,512,250,0.5830816030502319
79,512,128,128,2e-05,512,500,0.6351382732391357
80,512,128,128,0.001,32,50,0.6316523551940918
81,512,128,128,0.001,32,100,0.6532651782035828
82,512,128,128,0.001,32,250,0.6367650628089905
83,512,128,128,0.001,32,500,0.6337438821792603
84,512,128,128,0.001,64,50,0.6337438821792603
85,512,128,128,0.001,64,100,0.6374622583389282
86,512,128,128,0.001,64,250,0.6379270553588867
87,512,128,128,0.001,64,500,0.6337438821792603
88,512,128,128,0.001,128,50,0.632814347743988
89,512,128,128,0.001,128,100,0.6548919677734375
90,512,128,128,0.001,128,250,0.6439693570137024
91,512,128,128,0.001,128,500,0.635370671749115
92,512,128,128,0.001,512,50,0.6367650628089905
93,512,128,128,0.001,512,100,0.6562862992286682
94,512,128,128,0.001,512,250,0.6411805748939514
95,512,128,128,0.001,512,500,0.6379270553588867
96,512,256,64,0.0001,32,50,0.5644899010658264
97,512,256,64,0.0001,32,100,0.6260748505592346
98,512,256,64,0.0001,32,250,0.6418777704238892
99,512,256,64,0.0001,32,500,0.638159453868866
100,512,256,64,0.0001,64,50,0.561468780040741
101,512,256,64,0.0001,64,100,0.6270044445991516
102,512,256,64,0.0001,64,250,0.6453636884689331
103,512,256,64,0.0001,64,500,0.6288635730743408
104,512,256,64,0.0001,128,50,0.5484545826911926
105,512,256,64,0.0001,128,100,0.6290959715843201
106,512,256,64,0.0001,128,250,0.6481524705886841
107,512,256,64,0.0001,128,500,0.6297931671142578
108,512,256,64,0.0001,512,50,0.5630955100059509
109,512,256,64,0.0001,512,100,0.6290959715843201
110,512,256,64,0.0001,512,250,0.6486172676086426
111,512,256,64,0.0001,512,500,0.6383918523788452
112,512,256,64,2e-05,32,50,0.4578201472759247
113,512,256,64,2e-05,32,100,0.5307924747467041
114,512,256,64,2e-05,32,250,0.5935394167900085
115,512,256,64,2e-05,32,500,0.6367650628089905
116,512,256,64,2e-05,64,50,0.4280734360218048
117,512,256,64,2e-05,64,100,0.5242853760719299
118,512,256,64,2e-05,64,250,0.5972577333450317
119,512,256,64,2e-05,64,500,0.6356030702590942
120,512,256,64,2e-05,128,50,0.49546828866004944
121,512,256,64,2e-05,128,100,0.5142923593521118
122,512,256,64,2e-05,128,250,0.6030676364898682
123,512,256,64,2e-05,128,500,0.6388566493988037
124,512,256,64,2e-05,512,50,0.4682779610157013
125,512,256,64,2e-05,512,100,0.5061585307121277
126,512,256,64,2e-05,512,250,0.5944690108299255
127,512,256,64,2e-05,512,500,0.635370671749115
128,512,256,64,0.001,32,50,0.6244480609893799
129,512,256,64,0.001,32,100,0.6493144631385803
130,512,256,64,0.001,32,250,0.6407157778739929
131,512,256,64,0.001,32,500,0.6342086791992188
132,512,256,64,0.001,64,50,0.630955159664154
133,512,256,64,0.001,64,100,0.6500116586685181
134,512,256,64,0.001,64,250,0.6451312899589539
135,512,256,64,0.001,64,500,0.6418777704238892
136,512,256,64,0.001,128,50,0.6379270553588867
137,512,256,64,0.001,128,100,0.6539623737335205
138,512,256,64,0.001,128,250,0.6397861838340759
139,512,256,64,0.001,128,500,0.6379270553588867
140,512,256,64,0.001,512,50,0.6093423366546631
141,512,256,64,0.001,512,100,0.6586102843284607
142,512,256,64,0.001,512,250,0.6393213868141174
143,512,256,64,0.001,512,500,0.6321171522140503
144,512,256,128,0.0001,32,50,0.5696026086807251
145,512,256,128,0.0001,32,100,0.6274692416191101
146,512,256,128,0.0001,32,250,0.6488496661186218
147,512,256,128,0.0001,32,500,0.6297931671142578
148,512,256,128,0.0001,64,50,0.5707646012306213
149,512,256,128,0.0001,64,100,0.630955159664154
150,512,256,128,0.0001,64,250,0.6430397629737854
151,512,256,128,0.0001,64,500,0.6330467462539673
152,512,256,128,0.0001,128,50,0.5565884113311768
153,512,256,128,0.0001,128,100,0.6307227611541748
